Category,API Name,Description,,,,
Parts Order,GetPartsInfo,Get the parts detail information,,,,
,CreatePartOrder,Create parts purchase order,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Category,retCode,retMsg,,,,
Error Messages,201,Invalid Token or Username/Password,GetPartsInfo,CreatePartOrder,,
,202,Duplicate Order,,CreatePartOrder,,
,210,Invalid Part,GetPartsInfo,CreatePartOrder,,
,211,Invalid mfgCode,GetPartsInfo,CreatePartOrder,,
,220,Part Not Available for Sale,GetPartsInfo,CreatePartOrder,,
,230,Order does not exist,,,,
,231,Order can not be cancelled,,,,
,232,Invalid Shipping Method,,CreatePartOrder,,
,233,Order has been cancelled,,,,
,300,See line remark,,CreatePartOrder,,
,,,,,,
,,,,,,


